subject,run,onset,duration,genre,track,start,end
sub-001,03,405,15,'classical',8,12.75,27.75
sub-001,03,420,15,'metal',64,3.21,18.21
sub-001,03,435,15,'reggae',70,3.29,18.29
sub-001,03,450,15,'jazz',14,14.78,29.78
sub-001,03,465,15,'hiphop',49,14.12,29.12
sub-001,03,480,15,'blues',73,13.81,28.81
sub-001,03,495,15,'rock',66,13.71,28.71
sub-001,03,510,15,'country',7,5.58,20.58
sub-001,03,525,15,'pop',66,12.45,27.45
sub-001,03,540,15,'disco',0,2.55,17.55
sub-001,03,555,15,'classical',8,12.75,27.75
sub-001,03,570,15,'metal',64,3.21,18.21
sub-001,03,585,15,'reggae',70,3.29,18.29
sub-001,03,600,15,'jazz',14,14.78,29.78
sub-001,04,0,15,'jazz',45,8.13,23.13
sub-001,04,15,15,'metal',51,8.15,23.15
sub-001,04,30,15,'country',78,14.53,29.53
sub-001,04,45,15,'rock',27,12.61,27.61
sub-001,04,60,15,'reggae',85,12.68,27.68
sub-001,04,75,15,'blues',69,8.92,23.92
sub-001,04,90,15,'hiphop',14,9.53,24.53
sub-001,04,105,15,'disco',11,9.02,24.02
sub-001,04,120,15,'classical',92,5.96,20.96
sub-001,04,135,15,'pop',68,1.93,16.93
sub-001,04,150,15,'jazz',45,8.13,23.13
sub-001,04,165,15,'metal',51,8.15,23.15
sub-001,04,180,15,'country',78,14.53,29.53
sub-001,04,195,15,'rock',27,12.61,27.61
sub-001,04,210,15,'reggae',85,12.68,27.68
sub-001,04,225,15,'blues',69,8.92,23.92
sub-001,04,240,15,'hiphop',14,9.53,24.53
sub-001,04,255,15,'disco',11,9.02,24.02
sub-001,04,270,15,'classical',92,5.96,20.96
sub-001,04,285,15,'pop',68,1.93,16.93
sub-001,04,300,15,'jazz',45,8.13,23.13
sub-001,04,315,15,'metal',51,8.15,23.15
sub-001,04,330,15,'country',78,14.53,29.53
sub-001,04,345,15,'rock',27,12.61,27.61
sub-001,04,360,15,'reggae',85,12.68,27.68
sub-001,04,375,15,'blues',69,8.92,23.92
sub-001,04,390,15,'hiphop',14,9.53,24.53
sub-001,04,405,15,'disco',11,9.02,24.02
sub-001,04,420,15,'classical',92,5.96,20.96
sub-001,04,435,15,'pop',68,1.93,16.93
sub-001,04,450,15,'jazz',45,8.13,23.13
sub-001,04,465,15,'metal',51,8.15,23.15
sub-001,04,480,15,'country',78,14.53,29.53
sub-001,04,495,15,'rock',27,12.61,27.61
sub-001,04,510,15,'reggae',85,12.68,27.68
sub-001,04,525,15,'blues',69,8.92,23.92
sub-001,04,540,15,'hiphop',14,9.53,24.53
sub-001,04,555,15,'disco',11,9.02,24.02
sub-001,04,570,15,'classical',92,5.96,20.96
sub-001,04,585,15,'pop',68,1.93,16.93
sub-001,04,600,15,'jazz',45,8.13,23.13
sub-001,05,0,15,'reggae',47,6.57,21.57
sub-001,05,15,15,'pop',79,13.47,28.47
sub-001,05,30,15,'country',59,7.04,22.04
sub-001,05,45,15,'classical',25,3.72,18.72
sub-001,05,60,15,'metal',26,8.41,23.41
sub-001,05,75,15,'disco',72,5.53,20.53
sub-001,05,90,15,'hiphop',42,9.9,24.9
sub-001,05,105,15,'rock',69,6.37,21.37
sub-001,05,120,15,'blues',47,14.05,29.05
sub-001,05,135,15,'jazz',59,0.26,15.26
sub-001,05,150,15,'reggae',47,6.57,21.57
sub-001,05,165,15,'pop',79,13.47,28.47
sub-001,05,180,15,'country',59,7.04,22.04
sub-001,05,195,15,'classical',25,3.72,18.72
sub-001,05,210,15,'metal',26,8.41,23.41
sub-001,05,225,15,'disco',72,5.53,20.53
